hostname,disposition,sy_snum
EPIC 211516501,CANDIDATE,1
EPIC 211524114,FALSE POSITIVE,1
EPIC 211524558,FALSE POSITIVE,1
EPIC 211526186,FALSE POSITIVE,1
EPIC 211533633,CANDIDATE,1
EPIC 211534342,FALSE POSITIVE,1
EPIC 211535327,CANDIDATE,1
EPIC 211535481,FALSE POSITIVE,1
K2-356,CANDIDATE,1
EPIC 211538193,FALSE POSITIVE,1
EPIC 211540348,FALSE POSITIVE,1
EPIC 211541590,CANDIDATE,1
EPIC 211543616,CANDIDATE,1
EPIC 211544257,CANDIDATE,1
EPIC 211546613,CANDIDATE,1
EPIC 211551160,CANDIDATE,1
EPIC 211552050,CANDIDATE,1
EPIC 211563123,FALSE POSITIVE,1
EPIC 211569704,CANDIDATE,1
EPIC 211572480,FALSE POSITIVE,1
EPIC 211572511,CANDIDATE,1
EPIC 211578235,CANDIDATE,1
EPIC 211579683,CANDIDATE,1
EPIC 211586387,CANDIDATE,1
EPIC 211589784,FALSE POSITIVE,1
EPIC 211590050,CANDIDATE,1
EPIC 211600389,FALSE POSITIVE,1
EPIC 211600632,FALSE POSITIVE,1
EPIC 211604981,FALSE POSITIVE,1
EPIC 211606790,CANDIDATE,1
EPIC 211607670,FALSE POSITIVE,1
EPIC 211607804,FALSE POSITIVE,1
EPIC 211611139,CANDIDATE,1
EPIC 211613886,FALSE POSITIVE,1
EPIC 211616939,CANDIDATE,1
EPIC 211619120,FALSE POSITIVE,1
EPIC 211619805,CANDIDATE,1
EPIC 211619879,CANDIDATE,1
EPIC 211620138,CANDIDATE,1
EPIC 211621644,FALSE POSITIVE,1
EPIC 211621961,FALSE POSITIVE,1
EPIC 211625003,FALSE POSITIVE,1
EPIC 211626490,FALSE POSITIVE,1
EPIC 211630537,FALSE POSITIVE,1
EPIC 211631538,CANDIDATE,1
EPIC 211631904,FALSE POSITIVE,1
EPIC 211638401,CANDIDATE,1
EPIC 211638883,FALSE POSITIVE,1
EPIC 211639283,FALSE POSITIVE,1
EPIC 211642307,CANDIDATE,1
EPIC 211642882,CANDIDATE,1
EPIC 211644647,FALSE POSITIVE,1
EPIC 211644764,CANDIDATE,1
EPIC 211645912,CANDIDATE,1
EPIC 211649214,CANDIDATE,1
EPIC 211651743,FALSE POSITIVE,1
EPIC 211662047,FALSE POSITIVE,1
EPIC 211663508,FALSE POSITIVE,1
EPIC 211663688,CANDIDATE,1
EPIC 211664543,FALSE POSITIVE,1
EPIC 211673349,CANDIDATE,1
EPIC 211679060,CANDIDATE,1
EPIC 211682423,CANDIDATE,1
EPIC 211685045,CANDIDATE,1
EPIC 211694226,CANDIDATE,1
EPIC 211705502,FALSE POSITIVE,1
EPIC 211705654,FALSE POSITIVE,1
EPIC 211710534,FALSE POSITIVE,1
EPIC 211711685,CANDIDATE,1
